word,meaning,tags
drawback,"결점, 문제점 (=disadvantage, snag)",명사
experiment with,…을 실험하다.,
let bygones be bygones,지난 일은 잊어버리기로 하다,
interact with,~와 상호 작용을 하다,
This is a stick-up!,(이것은) 총기 강도다!,
consumption,(에너지·식품·물질의) 소비[소모](량) (→consume),명사
stuff,"것[것들], 물건, 물질(가리키는 사물(들)·물질 등의 이름을 모르거나 그것이 중요하지 않을 때, 또는 무엇을 가리키는지가 분명할 때 씀) (→foodstuff)",명사
underneath,…의 밑[아래/안]에(특히 다른 것에 가려지거나 덮이는 경우에 씀),"전치사, 부사"
messy,"지저분한, 엉망인 (=chaotic)",형용사
predictable,예측[예견]할 수 있는,형용사
magnitude,(엄청난) 규모[중요도],명사
nondeterministic,"비(非)결정론적인, 비결정성의",형용사
consensus,"의견 일치, 합의",명사
